Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,Transcript type
ENSRNOG00000019902,ENSRNOG00000019902.5,ENSRNOT00000026962,ENSRNOT00000026962.4,protein_coding
ENSRNOG00000018077,ENSRNOG00000018077.5,ENSRNOT00000024392,ENSRNOT00000024392.5,protein_coding
ENSRNOG00000050708,ENSRNOG00000050708.1,ENSRNOT00000075707,ENSRNOT00000075707.1,protein_coding
ENSRNOG00000030278,ENSRNOG00000030278.2,ENSRNOT00000043590,ENSRNOT00000043590.2,protein_coding
ENSRNOG00000061217,ENSRNOG00000061217.1,ENSRNOT00000090602,ENSRNOT00000090602.1,protein_coding
ENSRNOG00000002413,ENSRNOG00000002413.6,ENSRNOT00000003282,ENSRNOT00000003282.5,protein_coding
ENSRNOG00000028807,ENSRNOG00000028807.3,ENSRNOT00000041434,ENSRNOT00000041434.3,protein_coding
ENSRNOG00000059540,ENSRNOG00000059540.1,ENSRNOT00000079815,ENSRNOT00000079815.1,protein_coding
ENSRNOG00000010447,ENSRNOG00000010447.4,ENSRNOT00000014124,ENSRNOT00000014124.3,protein_coding
ENSRNOG00000050207,ENSRNOG00000050207.1,ENSRNOT00000075049,ENSRNOT00000075049.1,protein_coding
ENSRNOG00000003069,ENSRNOG00000003069.4,ENSRNOT00000004121,ENSRNOT00000004121.4,protein_coding
ENSRNOG00000018606,ENSRNOG00000018606.5,ENSRNOT00000025097,ENSRNOT00000025097.5,protein_coding
ENSRNOG00000008716,ENSRNOG00000008716.6,ENSRNOT00000011604,ENSRNOT00000011604.4,protein_coding
ENSRNOG00000060597,ENSRNOG00000060597.1,ENSRNOT00000091494,ENSRNOT00000091494.1,protein_coding
ENSRNOG00000001727,ENSRNOG00000001727.7,ENSRNOT00000081081,ENSRNOT00000081081.1,protein_coding
ENSRNOG00000001727,ENSRNOG00000001727.7,ENSRNOT00000002354,ENSRNOT00000002354.6,protein_coding
ENSRNOG00000001727,ENSRNOG00000001727.7,ENSRNOT00000090940,ENSRNOT00000090940.1,protein_coding
ENSRNOG00000015380,ENSRNOG00000015380.6,ENSRNOT00000089933,ENSRNOT00000089933.1,protein_coding
ENSRNOG00000015380,ENSRNOG00000015380.6,ENSRNOT00000040845,ENSRNOT00000040845.2,protein_coding
ENSRNOG00000039079,ENSRNOG00000039079.4,ENSRNOT00000019072,ENSRNOT00000019072.7,protein_coding
ENSRNOG00000020275,ENSRNOG00000020275.5,ENSRNOT00000027458,ENSRNOT00000027458.5,protein_coding
ENSRNOG00000002642,ENSRNOG00000002642.7,ENSRNOT00000003787,ENSRNOT00000003787.7,protein_coding
ENSRNOG00000029321,ENSRNOG00000029321.3,ENSRNOT00000043827,ENSRNOT00000043827.3,protein_coding
ENSRNOG00000013164,ENSRNOG00000013164.5,ENSRNOT00000017570,ENSRNOT00000017570.5,protein_coding
ENSRNOG00000022373,ENSRNOG00000022373.7,ENSRNOT00000049810,ENSRNOT00000049810.5,protein_coding
ENSRNOG00000012396,ENSRNOG00000012396.4,ENSRNOT00000017038,ENSRNOT00000017038.4,protein_coding
ENSRNOG00000013408,ENSRNOG00000013408.5,ENSRNOT00000059571,ENSRNOT00000059571.2,protein_coding
ENSRNOG00000024824,ENSRNOG00000024824.6,ENSRNOT00000034672,ENSRNOT00000034672.6,protein_coding
ENSRNOG00000020530,ENSRNOG00000020530.5,ENSRNOT00000027845,ENSRNOT00000027845.5,protein_coding
ENSRNOG00000003532,ENSRNOG00000003532.5,ENSRNOT00000004684,ENSRNOT00000004684.5,protein_coding
ENSRNOG00000016813,ENSRNOG00000016813.7,ENSRNOT00000085787,ENSRNOT00000085787.1,protein_coding
ENSRNOG00000016813,ENSRNOG00000016813.7,ENSRNOT00000023103,ENSRNOT00000023103.4,protein_coding
ENSRNOG00000012109,ENSRNOG00000012109.7,ENSRNOT00000067638,ENSRNOT00000067638.3,protein_coding
ENSRNOG00000016271,ENSRNOG00000016271.5,ENSRNOT00000023037,ENSRNOT00000023037.5,protein_coding
ENSRNOG00000025726,ENSRNOG00000025726.5,ENSRNOT00000009916,ENSRNOT00000009916.6,protein_coding
ENSRNOG00000009705,ENSRNOG00000009705.6,ENSRNOT00000012936,ENSRNOT00000012936.6,protein_coding
ENSRNOG00000004633,ENSRNOG00000004633.5,ENSRNOT00000067006,ENSRNOT00000067006.2,protein_coding
ENSRNOG00000020635,ENSRNOG00000020635.5,ENSRNOT00000028026,ENSRNOT00000028026.5,protein_coding
ENSRNOG00000046382,ENSRNOG00000046382.2,ENSRNOT00000071528,ENSRNOT00000071528.2,protein_coding
ENSRNOG00000039001,ENSRNOG00000039001.3,ENSRNOT00000059628,ENSRNOT00000059628.3,protein_coding
ENSRNOG00000024259,ENSRNOG00000024259.6,ENSRNOT00000033285,ENSRNOT00000033285.5,protein_coding
ENSRNOG00000023708,ENSRNOG00000023708.6,ENSRNOT00000049891,ENSRNOT00000049891.4,protein_coding
ENSRNOG00000003915,ENSRNOG00000003915.6,ENSRNOT00000005387,ENSRNOT00000005387.6,protein_coding
ENSRNOG00000027332,ENSRNOG00000027332.2,ENSRNOT00000037739,ENSRNOT00000037739.2,protein_coding
ENSRNOG00000005686,ENSRNOG00000005686.6,ENSRNOT00000068274,ENSRNOT00000068274.2,protein_coding
ENSRNOG00000020975,ENSRNOG00000020975.7,ENSRNOT00000028475,ENSRNOT00000028475.7,protein_coding
ENSRNOG00000009873,ENSRNOG00000009873.7,ENSRNOT00000086271,ENSRNOT00000086271.1,protein_coding
ENSRNOG00000009873,ENSRNOG00000009873.7,ENSRNOT00000035888,ENSRNOT00000035888.2,protein_coding
ENSRNOG00000053044,ENSRNOG00000053044.1,ENSRNOT00000054860,ENSRNOT00000054860.4,protein_coding
ENSRNOG00000008786,ENSRNOG00000008786.7,ENSRNOT00000089866,ENSRNOT00000089866.1,protein_coding
ENSRNOG00000008786,ENSRNOG00000008786.7,ENSRNOT00000057407,ENSRNOT00000057407.4,protein_coding
ENSRNOG00000053727,ENSRNOG00000053727.1,ENSRNOT00000089761,ENSRNOT00000089761.1,protein_coding
ENSRNOG00000005195,ENSRNOG00000005195.6,ENSRNOT00000007175,ENSRNOT00000007175.6,protein_coding
ENSRNOG00000006776,ENSRNOG00000006776.6,ENSRNOT00000009184,ENSRNOT00000009184.5,protein_coding
ENSRNOG00000001711,ENSRNOG00000001711.4,ENSRNOT00000002329,ENSRNOT00000002329.3,protein_coding
ENSRNOG00000038147,ENSRNOG00000038147.1,ENSRNOT00000058056,ENSRNOT00000058056.1,protein_coding
ENSRNOG00000021528,ENSRNOG00000021528.3,ENSRNOT00000036556,ENSRNOT00000036556.3,protein_coding
ENSRNOG00000016089,ENSRNOG00000016089.4,ENSRNOT00000021529,ENSRNOT00000021529.4,protein_coding
ENSRNOG00000002270,ENSRNOG00000002270.7,ENSRNOT00000079767,ENSRNOT00000079767.1,protein_coding
ENSRNOG00000002270,ENSRNOG00000002270.7,ENSRNOT00000003106,ENSRNOT00000003106.6,protein_coding
ENSRNOG00000009149,ENSRNOG00000009149.4,ENSRNOT00000012247,ENSRNOT00000012247.4,protein_coding
ENSRNOG00000018514,ENSRNOG00000018514.2,ENSRNOT00000024971,ENSRNOT00000024971.2,protein_coding
ENSRNOG00000006557,ENSRNOG00000006557.7,ENSRNOT00000059496,ENSRNOT00000059496.4,protein_coding
ENSRNOG00000006557,ENSRNOG00000006557.7,ENSRNOT00000081280,ENSRNOT00000081280.1,protein_coding
ENSRNOG00000018485,ENSRNOG00000018485.7,ENSRNOT00000086329,ENSRNOT00000086329.1,protein_coding
ENSRNOG00000018485,ENSRNOG00000018485.7,ENSRNOT00000025158,ENSRNOT00000025158.5,protein_coding
ENSRNOG00000019551,ENSRNOG00000019551.5,ENSRNOT00000026507,ENSRNOT00000026507.5,protein_coding
ENSRNOG00000030462,ENSRNOG00000030462.3,ENSRNOT00000049841,ENSRNOT00000049841.3,protein_coding
ENSRNOG00000047112,ENSRNOG00000047112.1,ENSRNOT00000074429,ENSRNOT00000074429.1,protein_coding
ENSRNOG00000019695,ENSRNOG00000019695.6,ENSRNOT00000026679,ENSRNOT00000026679.6,protein_coding
ENSRNOG00000061483,ENSRNOG00000061483.1,ENSRNOT00000082437,ENSRNOT00000082437.1,pseudogene
ENSRNOG00000042623,ENSRNOG00000042623.1,ENSRNOT00000032309,ENSRNOT00000032309.3,protein_coding
ENSRNOG00000014214,ENSRNOG00000014214.5,ENSRNOT00000019247,ENSRNOT00000019247.5,protein_coding
ENSRNOG00000012035,ENSRNOG00000012035.6,ENSRNOT00000016699,ENSRNOT00000016699.6,protein_coding
ENSRNOG00000047578,ENSRNOG00000047578.2,ENSRNOT00000083369,ENSRNOT00000083369.1,protein_coding
ENSRNOG00000047578,ENSRNOG00000047578.2,ENSRNOT00000075659,ENSRNOT00000075659.1,protein_coding
ENSRNOG00000015474,ENSRNOG00000015474.5,ENSRNOT00000021593,ENSRNOT00000021593.5,protein_coding
ENSRNOG00000012409,ENSRNOG00000012409.6,ENSRNOT00000016582,ENSRNOT00000016582.6,protein_coding
ENSRNOG00000012944,ENSRNOG00000012944.7,ENSRNOT00000017972,ENSRNOT00000017972.6,protein_coding
ENSRNOG00000012944,ENSRNOG00000012944.7,ENSRNOT00000088523,ENSRNOT00000088523.1,protein_coding
ENSRNOG00000012944,ENSRNOG00000012944.7,ENSRNOT00000080721,ENSRNOT00000080721.1,protein_coding
ENSRNOG00000012944,ENSRNOG00000012944.7,ENSRNOT00000085378,ENSRNOT00000085378.1,protein_coding
ENSRNOG00000022448,ENSRNOG00000022448.5,ENSRNOT00000037333,ENSRNOT00000037333.5,protein_coding
ENSRNOG00000037851,ENSRNOG00000037851.4,ENSRNOT00000089517,ENSRNOT00000089517.1,protein_coding
ENSRNOG00000037851,ENSRNOG00000037851.4,ENSRNOT00000057502,ENSRNOT00000057502.4,protein_coding
ENSRNOG00000022720,ENSRNOG00000022720.4,ENSRNOT00000032719,ENSRNOT00000032719.3,protein_coding
ENSRNOG00000058417,ENSRNOG00000058417.1,ENSRNOT00000071575,ENSRNOT00000071575.2,miRNA
ENSRNOG00000031824,ENSRNOG00000031824.5,ENSRNOT00000049973,ENSRNOT00000049973.5,protein_coding
ENSRNOG00000038174,ENSRNOG00000038174.4,ENSRNOT00000031284,ENSRNOT00000031284.6,protein_coding
ENSRNOG00000057223,ENSRNOG00000057223.1,ENSRNOT00000087136,ENSRNOT00000087136.1,misc_RNA
ENSRNOG00000008666,ENSRNOG00000008666.8,ENSRNOT00000073718,ENSRNOT00000073718.3,protein_coding
ENSRNOG00000020660,ENSRNOG00000020660.7,ENSRNOT00000015962,ENSRNOT00000015962.6,protein_coding
ENSRNOG00000031232,ENSRNOG00000031232.5,ENSRNOT00000042562,ENSRNOT00000042562.3,protein_coding
ENSRNOG00000046363,ENSRNOG00000046363.1,ENSRNOT00000073869,ENSRNOT00000073869.1,miRNA
ENSRNOG00000015428,ENSRNOG00000015428.7,ENSRNOT00000077859,ENSRNOT00000077859.1,protein_coding
ENSRNOG00000015428,ENSRNOG00000015428.7,ENSRNOT00000020705,ENSRNOT00000020705.5,protein_coding
ENSRNOG00000015428,ENSRNOG00000015428.7,ENSRNOT00000089142,ENSRNOT00000089142.1,protein_coding
